,products,price,Description
0,Double Chicken Roll,410,"Savor our freshly baked nan—pillowy, lightly buttered Indian flatbread with a delicate char for a rustic flavor. Perfectly soft inside with a tantalizingly crisp exterior, it's designed to complement your favorite curry or stew with an irresistible blend of tradition and taste."
1,Snacks non Veg,256,"Indulge in our savory non-veg snacks featuring crispy chicken bites, spiced lamb skewers, and succulent seafood options. Each flavorful creation is perfectly seasoned and fried to golden perfection for an irresistible crunch. Ideal for sharing or enjoying solo, these bold bites promise a delightful and satisfying taste experience."
2,Hot Wings 2 pc,120,"Savor the heat with our 2-piece Hot Wings! Crispy on the outside and juicy inside, each wing is tossed in a bold, fiery sauce that awakens your taste buds. Perfect for starters or sharing, these wings deliver a thrilling burst of spice in every bite."
3,Hot Wings 4 Pc,452,"Savor our four-piece hot wings—crispy on the outside and juicy on the inside. Each wing is tossed in a bold, fiery sauce that delivers a perfect kick with every bite. Ideal as an appetizer or snack, these wings pack a punch of flavor sure to satisfy your heat cravings."
4,Hot Wings 4 Pc,123,"Enjoy our freshly baked nan—a soft, pillowy Indian flatbread expertly tandoor-cooked to achieve a delicate, smoky char. Perfect for mopping up savory curries or dipping in vibrant sauces, each piece is a warm, comforting embrace of traditional flavor and timeless appeal."
5,Popcorn Reg,269,"Savor our classic Popcorn Reg—perfectly popped and lightly seasoned with butter and a pinch of salt. Enjoy the timeless, crunchy bite that’s ideal for movie nights, a quick treat, or a nostalgic snack anytime."
6,Popcorn Med,452,Experience the perfect balance of crunch and buttery goodness with our Popcorn Med. This medium serving of freshly popped kernels is lightly salted for an irresistible snack that’s ideal for movie nights or a midday treat. Enjoy every bite of this classic favorite!
7,Popcorn Lrg,741,"Indulge in our Popcorn Lrg—a generous serving of freshly popped corn, lightly seasoned for that perfect balance of savory and crunch. Ideal for sharing during movie nights or enjoying solo, it's a timeless treat that delights every palate."
8,Popcorn Lrg,362,"Experience our freshly baked nan—soft, pillowy flatbread with a lightly charred finish from the tandoor. Brushed with a hint of garlic butter, it's the perfect companion to any curry or soup, inviting you to savor authentic, comforting flavors in every bite."
9,Boneless Strips 3pc,125,"Savor our crispy-crusted, hand-breaded tender chicken boneless strips. Each piece is perfectly fried to a golden finish, offering a burst of flavor in every bite. Enjoy three delectable strips paired with your favorite dipping sauce."
10,Boneless Strips 6pc,453,"Enjoy our 6-piece boneless strips—crispy golden-fried chicken tender bites lightly seasoned for a burst of flavor. Perfect for dipping in your favorite sauce, these hand-breaded strips deliver a satisfying crunch in every bite."
11,Single Chicken Roll,326,"Experience the perfect bite with our Single Chicken Roll. Tender, grilled chicken is layered with crisp greens and a hint of herbs, all wrapped in a soft, freshly baked roll. Each bite delivers a flavorful mix of simplicity and zest—ideal for a light meal or a quick snack."
12,Double Chicken Roll,152,"Double Chicken Roll: Enjoy two generous layers of tender, marinated chicken nestled between a toasted, flaky roll. Enhanced with crisp greens and a hint of spice, this roll offers a satisfying crunch and a burst of savory flavor in every bite."
13,Snacks Veg,452,"Introducing our Veg Snacks collection—a vibrant assortment of crispy, savory treats perfect for any snack craving. Enjoy spiced pakoras, vegetable samosas, and more, each crafted with fresh, quality ingredients and accompanied by zesty dips. Experience a delightful burst of flavor and texture in every bite."
14,Veg Strips 4pc,365,"Enjoy our Veg Strips – four crispy, golden bites of lightly battered fresh vegetables. Each strip offers a satisfying crunch and a burst of natural flavor, perfectly paired with your favorite dipping sauce. An irresistible vegetarian delight that's both playful and delicious!"
15,Cheese Chilli Burst  (4 Pieces),123,"Indulge in our Cheese Chilli Burst—a fiery fusion of melted cheese and zesty chilli flavors wrapped in four crunchy, golden pieces. Each bite delivers a satisfying crunch and a burst of spice, perfect for those who crave a little heat in every nibble."
16,Cheese Corn Pops (5 Pieces),365,"Delight in these crispy, golden cheese corn pops—each bite a perfect blend of melted cheese and sweet corn. Expertly fried and lightly seasoned, these five artisanal morsels offer a delectable crunch that's ideal for sharing or savoring solo."
17,Seasone d Mozzeral la Sticks (3 Pieces),452,"Introducing our Seasone d Mozzeral la Sticks – a trio of crispy, golden bites bursting with zesty Mediterranean herbs. Handcrafted and lightly fried to perfection, they're paired with a tangy marinara dip for an unforgettable flavor journey. Enjoy this savory starter that's great for sharing or indulging solo!"
18,Biryani,456,"Savor our aromatic Biryani – tender marinated meat (or vegetables) layered with basmati rice, saffron, and a unique blend of spices. Slow-cooked to perfection, each bite delivers a symphony of rich flavors and fragrant herbs, capturing the true essence of tradition in every spoonful."
19,Veg Biryani,552,"Savor our Veg Biryani—a fragrant blend of long-grain basmati rice, garden-fresh vegetables, and authentic spices. Slow-cooked to perfection, each serving promises layers of aromatic indulgence that capture the essence of traditional Indian flavors."
20,"Classic chicken
biryani",332,"Experience the aroma of long-grain basmati rice layered with succulent chicken, marinated in traditional spices. Slow-cooked with flavorful saffron, mint, and caramelized onions, our Classic Chicken Biryani is a timeless masterpiece offering a satisfying burst of regional authenticity in every delectable bite."
21,Classic chicken biryani,126,"Enjoy the soft, pillowy warmth of our fresh nan—an authentic Indian flatbread baked to perfection. Its lightly charred edges and tender center make it the ideal accompaniment for curries and dips, adding a traditional taste of India to every meal."
22,Popcorn Chicken Biryani,453,"Savor our Popcorn Chicken Biryani—a vibrant fusion of spiced, aromatic rice and crispy, bite-sized popcorn chicken. Each mouthful bursts with flavor, enhanced by herbs and a hint of tang, creating a delightful twist on a classic favorite. Experience the crunchy texture paired with the comforting warmth of traditional biryani in this irresistible dish."
23,Smoky Chicken Biryani,410,"Indulge in our Smoky Chicken Biryani—a harmonious blend of tender chicken, subtly smoked and marinated to perfection, intertwined with fragrant basmati rice. Infused with saffron, caramelized onions, and a medley of spices, every bite unveils layers of rich, memorable flavor."
24,Lunch Specials,256,"Savor our Lunch Specials—a delightful selection of chef-curated dishes made to satisfy your midday cravings. Fresh, seasonal ingredients blend with vibrant flavors to create hearty meals perfect for a quick bite or leisurely break. Enjoy quality and taste in every mouthwatering bite."
25,Chicken Longer+ 1,120,"Introducing Chicken Longer+: tender, marinated chicken grilled for a smoky finish and topped with zesty peppers and a drizzle of herb-infused sauce. This dish delivers a vibrant mix of flavors with every satisfying bite."
26,Chicken Strip,452,"Crispy on the outside and tender on the inside, our Chicken Strips are lightly breaded and fried to perfection. Served with your choice of tangy dipping sauce and a side of crispy fries, these savory strips offer a satisfying crunch in every bite. Enjoy a classic favorite with a gourmet twist!"
27,Single Chicken Roll + 1 chicken Strip,123,"Delight in our Single Chicken Roll + Chicken Strip combo. Enjoy tender, marinated chicken wrapped in a freshly baked roll alongside a crispy, golden chicken strip. Perfect for a satisfying meal on the go, this duo offers a harmonious blend of juicy flavor and crunch in every bite."
28,Biryani Rice + 2 Wings,269,"Savor our aromatic Biryani Rice, infused with a blend of exotic spices and tender, slow-cooked basmati, perfectly paired with two crispy, savory wings. A delightful fusion of flavors that brings both comfort and a hint of indulgence to every bite."
29,Biryani Rice + 2 Wings,452,"Experience the warmth of tradition with our authentic Nan—a soft, pillowy flatbread baked to perfection in a clay oven. Its slightly charred edges and delicate smokiness create the ideal companion to hearty curries and savory dips. Enjoy a taste of genuine comfort in every bite."
30,Burgers Non Veg,741,"Sink your teeth into our Non-Veg Burgers, featuring a juicy, perfectly grilled patty crowned with crisp lettuce, ripe tomatoes, and tangy pickles. Finished with a drizzle of our signature sauce and served on a toasted bun, every bite bursts with irresistible flavor."
31,Chicken Zinger Burger,362,"Dive into the fiery flavor of our Chicken Zinger Burger—a crispy, spice-marinated chicken fillet topped with fresh lettuce and our signature zesty sauce, all nestled in a soft, toasted bun. Every bite delivers a satisfying crunch and a perfect balance of heat and taste. Enjoy the ultimate kick in every mouthful!"
32,Spicy Zinger,125,"Meet our Spicy Zinger—a crispy, tender chicken delight bursting with fiery spices. Each bite delivers a bold kick of heat perfectly balanced with savory flavor, ensuring an irresistible crunch that keeps you coming back for more. Taste the thrill in every mouthwatering morsel!"
